id,ticker_symbol,company_name,cik_number
282,ainc,Ashford Inc. ,1604738
283,ainv,APOLLO INVESTMENT CORP ,1278752
284,aiq,"Alliance HealthCare Services, Inc ",817135
285,air,AAR CORP ,1750
286,airg,AIRGAIN INC ,1272842
287,airi,AIR INDUSTRIES GROUP ,1009891
288,airt,AIR T INC ,353184
289,airtw,AIR T INC ,353184
290,ait,APPLIED INDUSTRIAL TECHNOLOGIES INC ,109563
291,aita,WUNONG ASIA PACIFIC Co Ltd ,1527675
292,aitx,Artificial Intelligence Technology Solutions Inc. ,1498148
293,aitxd,Artificial Intelligence Technology Solutions Inc. ,1498148
294,aiv,APARTMENT INVESTMENT & MANAGEMENT CO ,922864
295,aivi,Kemiao Garment Holding Group ,1471302
296,aivn,AMERICAN INTERNATIONAL VENTURES INC /DE/ ,5656
297,aiz,"ASSURANT, INC. ",1267238
298,aizp,"ASSURANT, INC. ",1267238
299,ajg,Arthur J. Gallagher & Co. ,354190
300,ajrd,"AEROJET ROCKETDYNE HOLDINGS, INC. ",40888
301,ajx,Great Ajax Corp. ,1614806
302,akam,AKAMAI TECHNOLOGIES INC ,1086222
303,akaoq,"Achaogen, Inc. ",1301501
304,akba,"Akebia Therapeutics, Inc. ",1517022
305,akca,"AKCEA THERAPEUTICS, INC. ",1662524
306,aker,"Akers Biosciences, Inc. ",1321834
307,akg,Galiano Gold Inc. ,1377757
308,ako-a,ANDINA BOTTLING CO INC ,925261
309,ako-b,ANDINA BOTTLING CO INC ,925261
310,akom,Aerkomm Inc. ,1590496
311,akr,ACADIA REALTY TRUST ,899629
312,akro,"Akero Therapeutics, Inc. ",1744659
313,akrx,AKORN INC ,3116
314,akrxq,AKORN INC ,3116
315,aks,AK STEEL HOLDING CORP ,918160
316,akts,"Akoustis Technologies, Inc. ",1584754
317,aktx,Akari Therapeutics Plc ,1541157
318,akus,"Akouos, Inc. ",1722271
319,al,AIR LEASE CORP ,1487712
320,alac,Alberton Acquisition Corp ,1748621
321,alb,ALBEMARLE CORP ,915913
322,albo,"ALBIREO PHARMA, INC. ",1322505
323,alc,ALCON INC ,1167379
324,alco,"ALICO, INC. ",3545
325,alda,ATLANTICA INC ,1062506
326,alds,APPlife Digital Solutions Inc ,1755101
327,aldw,"Alon USA Partners, LP ",1556766
328,aldx,"Aldeyra Therapeutics, Inc. ",1341235
329,ale,ALLETE INC ,66756
330,aleaf,Aleafia Health Inc. ,1754664
331,alec,"Alector, Inc. ",1653087
332,alex,"Alexander & Baldwin, Inc. ",1545654
333,alg,ALAMO GROUP INC ,897077
334,algn,ALIGN TECHNOLOGY INC ,1097149
335,algr,Allegro Merger Corp. ,1720025
336,algrr,Allegro Merger Corp. ,1720025
337,algru,Allegro Merger Corp. ,1720025
338,algrw,Allegro Merger Corp. ,1720025
339,algt,Allegiant Travel CO ,1362468
340,alid,Allied Corp. ,1575295
341,alim,ALIMERA SCIENCES INC ,1267602
342,aljj,ALJ REGIONAL HOLDINGS INC ,1438731
343,alk,"ALASKA AIR GROUP, INC. ",766421
344,alkm,"ALKAME HOLDINGS, INC. ",1522165
345,alks,Alkermes plc. ,1520262
346,all,ALLSTATE CORP ,899051
347,alle,Allegion plc ,1579241
348,allk,Allakos Inc. ,1564824
349,allo,"Allogene Therapeutics, Inc. ",1737287
350,all-pb,ALLSTATE CORP ,899051
351,all-pg,ALLSTATE CORP ,899051
352,all-ph,ALLSTATE CORP ,899051
353,all-pi,ALLSTATE CORP ,899051
354,allt,Allot Ltd. ,1365767
355,ally,Ally Financial Inc. ,40729
356,ally-pa,Ally Financial Inc. ,40729
357,alna,"Allena Pharmaceuticals, Inc. ",1624658
358,alny,"ALNYLAM PHARMACEUTICALS, INC. ",1178670
359,alo,Alio Gold Inc. ,1502154
360,alot,"AstroNova, Inc. ",8146
361,al-pa,AIR LEASE CORP ,1487712
362,alpc,Alpha Investment Inc. ,1616736
363,alpe,alpha-En Corp ,1023298
364,alpn,"ALPINE IMMUNE SCIENCES, INC. ",1626199
365,alpp,Alpine 4 Technologies Ltd. ,1606698
366,alp-pq,ALABAMA POWER CO ,3153
367,alpvn,ALABAMA POWER CO ,3153
368,alr,ALERE INC. ,1145460
369,alrm,"Alarm.com Holdings, Inc. ",1459200
370,alrn,AILERON THERAPEUTICS INC ,1420565
371,alrs,ALERUS FINANCIAL CORP ,903419
372,alrt,ALR TECHNOLOGIES INC. ,1087022
373,alsk,ALASKA COMMUNICATIONS SYSTEMS GROUP INC ,1089511
374,alsn,Allison Transmission Holdings Inc ,1411207
375,alt,"Altimmune, Inc. ",1326190
376,alta,Altabancorp ,1636286
377,altd,"ALTITUDE INTERNATIONAL, INC ",1664127
378,altg,ALTA EQUIPMENT GROUP INC. ,1759824
379,altg-wt,ALTA EQUIPMENT GROUP INC. ,1759824
380,altm,Altus Midstream Co ,1692787
381,altn,Alternus Energy Inc. ,1621499
382,altr,Altair Engineering Inc. ,1701732
383,altx,ALTEX INDUSTRIES INC ,775057
384,alus,Alussa Energy Acquisition Corp. ,1781115
385,alus-un,Alussa Energy Acquisition Corp. ,1781115
386,alus-wt,Alussa Energy Acquisition Corp. ,1781115
387,alv,AUTOLIV INC ,1034670
388,alvr,"Allovir, Inc. ",1754068
389,alx,ALEXANDERS INC ,3499
390,alxn,"ALEXION PHARMACEUTICALS, INC. ",899866
391,alxo,ALX ONCOLOGY HOLDINGS INC ,1810182
392,alya,Alithya Group inc ,1734520
393,alye,"Aly Energy Services, Inc. ",946822
394,am,Antero Midstream Corp ,1623925
395,amag,"AMAG PHARMACEUTICALS, INC. ",792977
396,amar,AMARILLO BIOSCIENCES INC ,1014763
397,amat,APPLIED MATERIALS INC /DE ,6951
398,amaz,"Amazing Energy Oil & Gas, Co. ",1375618
399,amba,AMBARELLA INC ,1280263
400,ambc,AMBAC FINANCIAL GROUP INC ,874501
401,ambc-wt,AMBAC FINANCIAL GROUP INC ,874501
402,ambo,Ambow Education Holding Ltd. ,1494558
403,amc,"AMC ENTERTAINMENT HOLDINGS, INC. ",1411579
404,amci,AMCI Acquisition Corp. ,1744494
405,amciu,AMCI Acquisition Corp. ,1744494
406,amciw,AMCI Acquisition Corp. ,1744494
407,amcr,Amcor plc ,1748790
408,amct,"AMERICAN EDUCATION CENTER, INC. ",1626556
409,amcx,AMC Networks Inc. ,1514991
410,amd,ADVANCED MICRO DEVICES INC ,2488
411,ame,AMETEK INC/ ,1037868
412,amed,AMEDISYS INC ,896262
413,ameh,"Apollo Medical Holdings, Inc. ",1083446
414,amg,"AFFILIATED MANAGERS GROUP, INC. ",1004434
415,amgn,AMGEN INC ,318154
416,amh,American Homes 4 Rent ,1562401
417,amhc,Amplitude Healthcare Acquisition Corp ,1788028
418,amhcu,Amplitude Healthcare Acquisition Corp ,1788028
419,amhcw,Amplitude Healthcare Acquisition Corp ,1788028
420,amh-pd,American Homes 4 Rent ,1562401
421,amh-pe,American Homes 4 Rent ,1562401
422,amh-pf,American Homes 4 Rent ,1562401
423,amh-pg,American Homes 4 Rent ,1562401
424,amh-ph,American Homes 4 Rent ,1562401
425,amih,AMERICAN INTERNATIONAL HOLDINGS CORP. ,1300524
426,amj,JPMORGAN CHASE & CO ,19617
427,amjl,CREDIT SUISSE AG ,1053092
428,amk,"AssetMark Financial Holdings, Inc. ",1591587
429,amkr,"AMKOR TECHNOLOGY, INC. ",1047127
430,ammj,"American Cannabis Company, Inc. ",945617
431,ammx,Ameramex International Inc ,1776048
432,amn,AMN HEALTHCARE SERVICES INC ,1142750
433,amna,UBS AG ,1114446
434,amnb,AMERICAN NATIONAL BANKSHARES INC. ,741516
435,amnd,UBS AG ,1114446
436,amnl,"Applied Minerals, Inc. ",8328
437,amot,ALLIED MOTION TECHNOLOGIES INC ,46129
438,amov,AMERICA MOVIL SAB DE CV/ ,1129137
439,amp,AMERIPRISE FINANCIAL INC ,820027
440,ampe,"Ampio Pharmaceuticals, Inc. ",1411906
441,ampg,"AmpliTech Group, Inc. ",1518461
442,amph,"Amphastar Pharmaceuticals, Inc. ",1297184
443,ampo,AMPERICO LTD ,1554054
444,ampy,Amplify Energy Corp. ,1533924
445,amrb,AMERICAN RIVER BANKSHARES ,1108236
446,amrc,"Ameresco, Inc. ",1488139
447,amrh,"AMERI Holdings, Inc. ",890821
448,amri,ALBANY MOLECULAR RESEARCH INC ,1065087
449,amrk,"A-Mark Precious Metals, Inc. ",1591588
450,amrn,AMARIN CORP PLC\UK ,897448
451,amrqq,"Alta Mesa Resources, Inc. /DE ",1690769
452,amrs,"AMYRIS, INC. ",1365916
453,amrwq,"Alta Mesa Resources, Inc. /DE ",1690769
454,amrww,"Alta Mesa Resources, Inc. /DE ",1690769
455,amrx,"Amneal Pharmaceuticals, Inc. ",1723128
456,ams,AMERICAN SHARED HOSPITAL SERVICES ,744825
457,amsc,AMERICAN SUPERCONDUCTOR CORP /DE/ ,880807
458,amsf,AMERISAFE INC ,1018979
459,amsu,AMANASU ENVIRONMENT CORP ,1142801
460,amswa,AMERICAN SOFTWARE INC ,713425
461,amt,AMERICAN TOWER CORP /MA/ ,1053507
462,amtb,Amerant Bancorp Inc. ,1734342
463,amtbb,Amerant Bancorp Inc. ,1734342
464,amtd,TD AMERITRADE HOLDING CORP ,1173431
465,amti,Applied Molecular Transport Inc. ,1801777
466,amtx,"AEMETIS, INC ",738214
467,amty,AMERITYRE CORP ,945828
468,amu,UBS AG ,1114446
469,amub,UBS AG ,1114446
470,amwd,AMERICAN WOODMARK CORP ,794619
471,amx,AMERICA MOVIL SAB DE CV/ ,1129137
472,amyt,Amryt Pharma plc ,1783010
473,amzn,AMAZON COM INC ,1018724
474,an,"AUTONATION, INC. ",350698
475,anab,"ANAPTYSBIO, INC ",1370053
476,anat,American National Group Inc ,1801075
477,anav,ALPHA NETWORK ALLIANCE VENTURES INC. ,1491829
478,ancn,Anchiano Therapeutics Ltd. ,1534248
479,ancx,ACCESS NATIONAL CORP ,1176316
480,anda,Andina Acquisition Corp. III ,1691936
481,ande,"Andersons, Inc. ",821026
482,andr,ANDREA ELECTRONICS CORP ,6494
483,anet,"Arista Networks, Inc. ",1596532
484,anf,ABERCROMBIE & FITCH CO /DE/ ,1018840
485,anfc,"Black Ridge Oil & Gas, Inc. ",1490161
486,angi,ANGI Homeservices Inc. ,1705110
487,ango,ANGIODYNAMICS INC ,1275187
488,anh,ANWORTH MORTGAGE ASSET CORP ,1047884
489,anik,"Anika Therapeutics, Inc. ",898437
490,anip,ANI PHARMACEUTICALS INC ,1023024
491,anix,Anixa Biosciences Inc ,715446
492,annx,"Annexon, Inc. ",1528115
493,anpc,"AnPac Bio-Medical Science Co., Ltd. ",1786511
494,anss,ANSYS INC ,1013462
495,ansu,AMANASU TECHNO HOLDINGS CORP ,1168663
496,ante,AIRNET TECHNOLOGY INC. ,1413745
